별점,리뷰,,,,,,,,,,,,,,,,,,
5,예쁘다,따뜻하다,아주,좋다,,,,,,,,,,,,,,,
4,좋다,좋다,크다,,,,,,,,,,,,,,,,
5,애가,좋아하다,이쁘다,,,,,,,,,,,,,,,,
5,아들,완전하다,만족하다,따뜻하다,추워지다,,,,,,,,,,,,,,
5,남편,사주다,만족하다,감사하다,,,,,,,,,,,,,,,
5,생각,괜찮다,편하다,,,,,,,,,,,,,,,,
5,예쁘다,실물,최고,,,,,,,,,,,,,,,,
5,빠르다,배송,제품,만족하다,,,,,,,,,,,,,,,
4,원하다,사주다,마음,요즘,좋다,,,,,,,,,,,,,,
5,가격,대비,좋다,,,,,,,,,,,,,,,,
4,아주,좋다,배송,빠르다,좋다,,,,,,,,,,,,,,
5,상품,배송,만족하다,,,,,,,,,,,,,,,,
5,딸아이,좋아하다,예쁘다,,,,,,,,,,,,,,,,
5,유명하다,좋아하다,주문,적당하다,낭랑하다,끼다,입다,좋다,따뜻하다,안감,마감,나쁘다,다리,짧다,체형,엉덩이,덮이다,길이,사진
5,기모,좋다,맨날,입다,,,,,,,,,,,,,,,
3,옷털,빠지다,날리다,,,,,,,,,,,,,,,,
5,생각,살짝,오버,좋다,예쁘다,후드,커서,좋다,,,,,,,,,,,
5,입어보다,편안하다,따뜻하다,자주,,,,,,,,,,,,,,,
5,질도,좋다,,,,,,,,,,,,,,,,,
5,친구,입어보다,만족하다,입다,묻다,세탁,괜찮다,,,,,,,,,,,,
5,입다,크다,사이즈,주문,옷감,부들부들하다,착용,좋다,원하다,,,,,,,,,,
4,생각,크다,편하다,,,,,,,,,,,,,,,,
5,딸내미,이쁘다,입다,,,,,,,,,,,,,,,,
5,사이즈,고민,키도,작고,후드,사이즈,사서,크다,생각,주문,이쁘다,사이즈,,,,,,,
5,사이즈,맞다,배송,좋다,,,,,,,,,,,,,,,
4,도톰하다,재질,,,,,,,,,,,,,,,,,
4,따뜻하다,사이즈,적당하다,좋다,,,,,,,,,,,,,,,
3,처음,구매,걸치다,좋다,자주,애용,,,,,,,,,,,,,
5,배송,빠르다,상품,,,,,,,,,,,,,,,,
5,편하다,입다,사이즈,아주,좋다,우연히,후드,소매,제외,아직도,멀쩡하다,믿다,빨다,전체,형태,주름,친구,,
3,얇다,기모,간절기,딱이다,,,,,,,,,,,,,,,
5,좋다,재질,좋다,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,좋다,모자,두껍다,모양,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
4,옅다,기모,기모,만족,,,,,,,,,,,,,,,
5,교복,좋다,,,,,,,,,,,,,,,,,
4,달리다,운동화,,,,,,,,,,,,,,,,,
5,사이즈,맞다,,,,,,,,,,,,,,,,,
5,도톰하다,꽃샘추위,거뜬하다,이기다,,,,,,,,,,,,,,,
5,상품,아주,,,,,,,,,,,,,,,,,
5,사이즈,딱이다,예쁘다,,,,,,,,,,,,,,,,
5,치수,크다,주문,예쁘다,,,,,,,,,,,,,,,
3,아주,입다,,,,,,,,,,,,,,,,,
5,아주,입다,감사하다,,,,,,,,,,,,,,,,
5,디자인,착용,만족,,,,,,,,,,,,,,,,
5,딸내미,달라,사주다,만족하다,,,,,,,,,,,,,,,
5,두께,강도,가격,비다,소재,좋다,브랜드,소재,가격,좋다,자주,이쁘다,구매,좋다,,,,,
5,입다,크다,크다,스타일,입다,이쁘다,고려,만해,,,,,,,,,,,
5,모자,커서,좋다,,,,,,,,,,,,,,,,
4,안쪽,촉감,좋다,스타일,좋다,,,,,,,,,,,,,,
5,편하다,입다,좋다,,,,,,,,,,,,,,,,
3,번째,구매,,,,,,,,,,,,,,,,,
3,이쁘다,,,,,,,,,,,,,,,,,,
5,좋다,,,,,,,,,,,,,,,,,,
5,마감,깨끗하다,이쁘다,,,,,,,,,,,,,,,,
4,이쁘다,입다,,,,,,,,,,,,,,,,,
5,좋다,검은색,입다,붙다,,,,,,,,,,,,,,,
5,크다,원하다,크다,따뜻하다,촉감,좋다,,,,,,,,,,,,,
5,예쁘다,편하다,가성비,좋다,친구,재질,좋다,깜짝,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,아들,사주다,마음,,,,,,,,,,,,,,,,
5,아들,만족하다,,,,,,,,,,,,,,,,,
5,예쁘다,배송,두꼐,적당하다,라인,잡다,무적,잡히다,루스,,,,,,,,,,
5,조카,선물,사주다,크다,조카,만족하다,,,,,,,,,,,,,
5,중학생,딸아이,아주,입다,밝다,그레이,컬러,따뜻하다,검정,입다,희다,묻다,단점,이기다,세탁,괜찮다,,,
4,맞다,크다,맞다,이쁘다,입히다,세탁,안감,흰색,입다,무지,묻다,세탁,건조기,흰색 ,묻다,편하다,분명하다,,
5,생각,살짝,오버핏,,,,,,,,,,,,,,,,
5,생각,팔이,예쁘다,따뜻하다,편하다,입다,,,,,,,,,,,,,
5,아들,예쁘다,입다,입다,가오리,,,,,,,,,,,,,,
3,아들,입다,깔끔하다,,,,,,,,,,,,,,,,
5,딸아이,좋아하다,최근,인터넷,쇼핑,,,,,,,,,,,,,,
5,사이즈,맞다,좋다,주문,,,,,,,,,,,,,,,
5,좋다,,,,,,,,,,,,,,,,,,
4,디자인,예쁘다,후드,,,,,,,,,,,,,,,,
4,적당하다,맞다,좋다,,,,,,,,,,,,,,,,
4,색상,얇다,겨울,입다,,,,,,,,,,,,,,,
5,여자,입다,작다,가오리,어께,크다,남동색,예쁘다,입다,단일,기모,아주,좋다,,,,,,
5,아주,마음,,,,,,,,,,,,,,,,,
